lecture_id,recommendation_score,preference_similarity,rating_average_norm,assignment_low_score,assignment_high_score,teamwork_low_score,teamwork_high_score,grading_generous_score,grading_strict_score,attendance_light_score,attendance_strict_score,exam_light_score,exam_heavy_score,text_assignment_negative_tfidf,text_assignment_positive_tfidf,text_assignment_tfidf,text_attendance_negative_tfidf,text_attendance_positive_tfidf,text_attendance_tfidf,text_exam_negative_tfidf,text_exam_positive_tfidf,text_exam_tfidf,text_grading_negative_tfidf,text_grading_positive_tfidf,text_grading_tfidf,text_negative_ratio,text_neutral_ratio,text_positive_ratio,text_teaching_negative_tfidf,text_teaching_positive_tfidf,text_teaching_tfidf,text_teamwork_negative_tfidf,text_teamwork_positive_tfidf,text_teamwork_tfidf
2768545,0.915973531509794,0.8808193307282771,0.998,0.823189,0.176812,0.992754,0.007247,0.963769,0.036233,0.579711,0.068116,0.987826,0.008116,0.0,0.030661,0.021469,0.0,0.0,0.0,0.0,0.028097,0.028097,0.0,0.096204,0.096204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2768543,0.9127518465208653,0.8762169236012362,0.998,0.83284,0.16716,0.986686,0.013314,0.954142,0.045858,0.579881,0.056213,0.989349,0.001184,0.0,0.177556,0.124328,0.0,0.079047,0.034431,0.0,0.012178,0.012178,0.0,0.095677,0.095677,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2249333,0.9114346797167711,0.8786209710239586,0.988,0.789042,0.210959,0.853425,0.146576,0.965754,0.034247,0.712328,0.117809,0.969726,0.019726,0.0,0.030661,0.021469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
120875,0.91006085443884,0.8826583634840571,0.974,0.963158,0.036842,0.952632,0.047369,0.989474,0.010526,0.421053,0.457895,0.981053,0.012632,0.0,0.090559,0.063411,0.0,0.079047,0.034431,0.0,0.0,0.0,0.0,0.063785,0.063785,0.0,0.05,0.95,0.0,0.053113,0.053113,0.0,0.0,0.0
2576289,0.9052179292983187,0.8757398989975983,0.974,0.793103,0.206897,0.839081,0.160919,0.890805,0.109196,0.804597,0.091954,0.964368,0.024712,0.0,0.030661,0.021469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
991007,0.9040777257512448,0.8681110367874926,0.988,0.758588,0.241412,0.849237,0.150763,0.976144,0.023855,0.553435,0.234732,0.963931,0.023569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2768544,0.9009281241489242,0.8601830344984632,0.996,0.721311,0.278688,0.979509,0.020492,0.963115,0.036885,0.586065,0.045082,0.991803,0.0,0.0,0.261705,0.183251,0.0,0.0,0.0,0.0,0.053444,0.053444,0.0,0.063785,0.063785,0.0,0.0,1.0,0.0,0.035318,0.035318,0.0,0.0,0.0
2768546,0.8984775231781709,0.8558250331116728,0.998,0.768019,0.231983,0.97973,0.020271,0.93919,0.060812,0.565316,0.056307,0.991667,0.001802,0.0,0.061321,0.042938,0.0,0.0,0.0,0.0,0.013755,0.013755,0.0,0.318924,0.318924,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
991009,0.8982707706727728,0.8641011009611042,0.978,0.704255,0.295745,0.797872,0.202128,0.965957,0.034042,0.72766,0.182979,0.96766,0.022979,0.0,0.061321,0.042938,0.0,0.0,0.0,0.0,0.028684,0.028684,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2376792,0.8947602701905288,0.8582289574150412,0.98,0.848215,0.151786,0.985119,0.014881,0.946429,0.053571,0.482143,0.116072,0.975,0.010714,0.0,0.37501,0.262589,0.0,0.0,0.0,0.0,0.067786,0.067786,0.0,0.031892,0.031892,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
